Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cows milk,1 qt.,976,660,32,40,36,0,48,Dairy products
Milk skim,1 qt.,984,360,36,t,t,0,52,Dairy products
Buttermilk,1 cup,246,127,9,5,4,0,13,Dairy products
Fortified milk,6 cups,"1,419","1,373",89,42,23,1.4,119,Dairy products
Powdered milk,1 cup,103,515,27,28,24,0,39,Dairy products
Instant skim,1 1/3 cups,85,290,30,t,t,0,42,Dairy products
Goats' milk,1 cup,244,165,8,10,8,0,11,Dairy products
Ice cream,2 cups,540,690,24,24,22,0,70,Dairy products
Cocoa,1 cup,252,235,8,11,10,0,26,Dairy products
Skim milk,1 cup,250,128,18,4,3,1,13,Dairy products
cornstarch,1 cup,248,275,9,10,9,0,40,Dairy products
Custard,1 cup,248,285,13,14,11,0,28,Dairy products
Ice cream,1 cup,188,300,6,18,16,0,29,Dairy products
Ice milk,1 cup,190,275,9,10,9,0,32,Dairy products
Cheese,1 cup,225,240,30,11,10,0,6,Dairy products
Cheddar,1 in. cube,17,70,4,6,5,0,t,Dairy products
Cream cheese,1 oz.,28,105,2,11,10,0,1,Dairy products
Processed cheese,1 oz.,28,105,7,9,8,0,t,Dairy products
Roquefort cheese,1 oz.,28,105,6,9,8,0,t,Dairy products
Swiss,1 oz.,28,105,7,8,7,0,t,Dairy products
Raw eggs,2,100,150,12,12,10,0,t,Dairy products
Scrambled Eggs,2,128,220,13,16,14,0,1,Dairy products
Yolks,2,34,120,6,10,8,0,t,"Fats, Oils, Shortenings"
Butter,1T.,14,100,t,11,10,0,t,"Fats, Oils, Shortenings"
Lard,1/2 cup,110,992,0,110,92,0,0,"Fats, Oils, Shortenings"
Margarine,1/2 cup,112,806,t,91,76,0,t,"Fats, Oils, Shortenings"
Mayonnaise,1 T.,15,110,t,12,5,0,t,"Fats, Oils, Shortenings"
Corn oil,1 T.,14,125,0,14,5,0,0,"Fats, Oils, Shortenings"
Olive oil,1T.,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
Safflower seed oil,1 T.,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
French dressing,1 T.,15,60,t,6,2,0,2,"Fats, Oils, Shortenings"
Thousand Island sauce,1 T.,15,75,t,8,3,0,1,"Fats, Oils, Shortenings"
Salted pork,2 oz.,60,470,3,55,,0,0,"Meat, Poultry"
Bacon,2 slices,16,95,4,8,7,0,1,"Meat, Poultry"
Beef,3 oz.,85,245,23,16,15,0,0,"Meat, Poultry"
Hamburger,3 oz.,85,245,21,17,15,0,0,"Meat, Poultry"
Roast beef,3 oz.,85,390,16,36,35,0,0,"Meat, Poultry"
